id,source,recipient,recipient_details,amount,currency,amount_reversed,notes,fees,on_hold,on_hold_until,created_at,recipient_settlement_id,settlement_initiated_on,settlement_utr,settlement_status,tax
trf_J1ptSnYJimzsFg,order_J1ptSilQrP00LG,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,01-03-2022 18:38,setl_J2Bkvm6z8F1S2X,02-03-2022 16:02,AXISCN0124633008,processed,0
trf_J1qUgUnIYIlESU,order_J1qUgQ4MWv5uaq,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,01-03-2022 19:14,setl_J2Bkvm6z8F1S2X,02-03-2022 16:02,AXISCN0124633008,processed,0
trf_J1sip4tvDzrbm1,order_J1sip0eWRvp1hn,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,01-03-2022 21:24,setl_J2Bkvm6z8F1S2X,02-03-2022 16:02,AXISCN0124633008,processed,0
trf_Ir4BfOiR4P4HU8,order_Ir4BfKZJC0AxP6,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,02-02-2022 13:28,,,,,
trf_Ir9c868mT8mstr,order_Ir9c834JFnKPtp,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,02-02-2022 18:47,,,,,
trf_Ir9fBa8JYbY4B9,order_Ir9fBX2hjGrmp3,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,02-02-2022 18:50,,,,,
trf_Ir9j9QyBtoyNyC,order_Ir9j9M6b6ctO23,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,02-02-2022 18:54,,,,,
trf_Ir9krP09J1D3D8,order_Ir9krLybWW89VH,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,02-02-2022 18:55,,,,,
trf_Ir9oKWTGFrz3fK,order_Ir9oKTJuXw6YdS,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,02-02-2022 18:58,,,,,
trf_IrArVF6ZlqKYZ9,order_IrArVBXhxzA9XN,acc_IErVt2Z9tWgMv9,"{""name"":""k and K SuperSpeciality"",""email"":""drsuraj.baghel@gmail.com""}",599,INR,0,[],0,0,,02-02-2022 20:00,setl_IrVM7AAz33SJS1,03-02-2022 16:03,,processed,0
trf_If8M5dPIBjeiZY,order_If8M5aaLdUQdn2,acc_HuDSeWoGNmDFKO,"{""name"":""Dr Gandhi Nursing Home"",""email"":""info@drgandhi.org""}",20000,INR,0,[],0,0,,03-01-2022 09:45,setl_IfdKMm1DD4KF9n,04-01-2022 16:03,AXISCN0116211597,processed,0
trf_IfHqnxikexD2i7,order_IfHqnsPC6IcIkC,acc_IFTWYGqyIY5rwI,"{""name"":""Shruti Nursing Home"",""email"":""hiteshparikh57test@gmail.com""}",3250,INR,0,[],0,0,,03-01-2022 19:02,,,,,0
trf_IrP7sOpophdr2I,order_IrP7sKYj17dsfj,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,03-02-2022 09:57,,,,,
trf_IrP8haKJk18FYz,order_IrP8hWwApa9eoN,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,03-02-2022 09:58,,,,,
trf_IrPB0v7QQxXaQE,order_IrPB0rvbAa7jpO,acc_HuEUSj4bRjA1UE,"{""name"":""EasyAspataal"",""email"":""prayag@easyaspataal.com""}",599,INR,0,[],0,0,,03-02-2022 10:00,,,,,
